region 378: cartogram area = -68.772096, relative error = -0.002468
region 379: cartogram area = -78.062052, relative error = 0.003015
region 380: cartogram area = -79.467149, relative error = -0.002910
region 381: cartogram area = -101.392670, relative error = 0.003206
region 383: cartogram area = -155.979491, relative error = -0.003314
region 384: cartogram area = -115.753068, relative error = 0.003917
region 385: cartogram area = -106.172394, relative error = -0.003639
region 386: cartogram area = -39.295651, relative error = 0.004506
region 387: cartogram area = -36.258820, relative error = -0.006807
region 388: cartogram area = -38.035446, relative error = 0.009994
region 389: cartogram area = -36.120635, relative error = -0.007236
region 390: cartogram area = -31.477775, relative error = 0.008209
region 391: cartogram area = -39.172394, relative error = -0.006998
region 392: cartogram area = -45.853943, relative error = 0.006518
region 394: cartogram area = -46.527348, relative error = -0.004761
region 395: cartogram area = -47.148559, relative error = 0.004109
region 396: cartogram area = -47.248432, relative error = -0.004232
region 397: cartogram area = -49.027293, relative error = 0.003674
region 398: cartogram area = -53.335679, relative error = -0.002998
region 399: cartogram area = -53.492059, relative error = 0.002237
region 400: cartogram area = -138.198110, relative error = -0.001301
region 401: cartogram area = -181.517344, relative error = 0.001185
region 402: cartogram area = -247.801334, relative error = -0.000730
region 403: cartogram area = -209.397598, relative error = 0.000393
region 405: cartogram area = -177.745954, relative error = 0.000356
region 406: cartogram area = -145.896248, relative error = -0.000629
region 407: cartogram area = -98.712985, relative error = 0.000931
region 408: cartogram area = -95.235462, relative error = -0.001211
region 409: cartogram area = -78.541146, relative error = 0.001758
region 410: cartogram area = -72.949750, relative error = -0.002013
region 411: cartogram area = -87.878240, relative error = 0.002505
region 412: cartogram area = -82.070293, relative error = -0.002926
region 413: cartogram area = -146.812311, relative error = 0.002820
region 414: cartogram area = -129.112214, relative error = -0.002782
region 417: cartogram area = -40.294882, relative error = 0.004694
region 418: cartogram area = -37.298202, relative error = -0.005782
region 419: cartogram area = -38.442460, relative error = 0.007052
region 420: cartogram area = -34.839024, relative error = -0.006518
region 421: cartogram area = -39.394625, relative error = 0.006507
region 422: cartogram area = -48.336164, relative error = -0.006710
region 423: cartogram area = -49.970186, relative error = 0.006450
region 424: cartogram area = -48.104526, relative error = -0.006431
region 425: cartogram area = -49.528832, relative error = 0.005895
region 426: cartogram area = -46.613179, relative error = -0.005986
region 428: cartogram area = -55.190821, relative error = 0.006149
region 429: cartogram area = -57.076651, relative error = -0.003559
region 430: cartogram area = -188.783481, relative error = 0.002592
region 431: cartogram area = -265.983616, relative error = -0.002220
region 432: cartogram area = -226.092921, relative error = 0.002163
region 433: cartogram area = -230.995309, relative error = -0.001859
region 434: cartogram area = -213.645167, relative error = 0.001592
region 435: cartogram area = -147.063054, relative error = -0.001220
region 436: cartogram area = -173.295380, relative error = 0.000676
